,county,state,Cluster
0,Garfield County,Utah,3
1,Gosper County,Nebraska,3
2,Wood County,Texas,3
3,Williamson County,Illinois,3
4,Keya Paha County,Nebraska,3
5,Blackford County,Indiana,3
6,Keith County,Nebraska,3
7,Brown County,Indiana,3
8,Newberry County,South Carolina,3
9,Howard County,Nebraska,3
10,Washington County,Texas,3
11,Hitchcock County,Nebraska,3
12,Hayes County,Nebraska,3
13,Harlan County,Nebraska,3
14,Fountain County,Indiana,3
15,Wayne County,Illinois,3
16,Furnas County,Nebraska,3
17,Frontier County,Nebraska,3
18,Greene County,Indiana,3
19,Franklin County,Nebraska,3
20,Tyler County,Texas,3
21,Trinity County,Texas,3
22,Fillmore County,Nebraska,3
23,Dundy County,Nebraska,3
24,Deuel County,Nebraska,3
25,Throckmorton County,Texas,3
26,Terrell County,Texas,3
27,Clay County,Nebraska,3
28,Whiteside County,Illinois,3
29,Merrick County,Nebraska,3
30,Lawrence County,Indiana,3
31,Red Willow County,Nebraska,3
32,Webster County,Nebraska,3
33,Piute County,Utah,3
34,Sherman County,Nebraska,3
35,Kane County,Utah,3
36,Marion County,Illinois,3
37,Marshall County,Illinois,3
38,Massac County,Illinois,3
39,Menard County,Illinois,3
40,Mercer County,Illinois,3
41,McCormick County,South Carolina,3
42,Richardson County,Nebraska,3
43,Daggett County,Utah,3
44,Polk County,Nebraska,3
45,Wabash County,Illinois,3
46,Pope County,Illinois,3
47,Putnam County,Illinois,3
48,Phelps County,Nebraska,3
49,Perkins County,Nebraska,3
50,Pawnee County,Nebraska,3
51,Nemaha County,Nebraska,3
52,Nance County,Nebraska,3
53,Shelby County,Illinois,3
54,Stark County,Illinois,3
55,Stephenson County,Illinois,3
56,Union County,Illinois,3
57,Young County,Texas,3
58,Chase County,Nebraska,3
59,Stonewall County,Texas,3
60,York County,Nebraska,3
61,Howard County,Iowa,3
62,Lincoln County,Montana,3
63,Clinton County,Iowa,3
64,Lake County,Montana,3
65,Granite County,Montana,3
66,Fayette County,Iowa,3
67,Floyd County,Iowa,3
68,Franklin County,Iowa,3
69,Fremont County,Iowa,3
70,Grundy County,Iowa,3
71,Flathead County,Montana,3
72,Hancock County,Iowa,3
73,Hardin County,Iowa,3
74,Custer County,Montana,3
75,Cerro Gordo County,Iowa,3
76,Jackson County,Iowa,3
77,Jefferson County,Iowa,3
78,Jones County,Iowa,3
79,Keokuk County,Iowa,3
80,Louisa County,Iowa,3
81,Lucas County,Iowa,3
82,Newton County,Texas,3
83,Worth County,Missouri,3
84,Mitchell County,Iowa,3
85,Monona County,Iowa,3
86,Motley County,Texas,3
87,Page County,Iowa,3
88,Chickasaw County,Iowa,3
89,Presidio County,Texas,3
90,Butler County,Nebraska,3
91,Treasure County,Montana,3
92,Burt County,Nebraska,3
93,Boyd County,Nebraska,3
94,Newton County,Indiana,3
95,Ohio County,Indiana,3
96,Orange County,Indiana,3
97,Owen County,Indiana,3
98,Shackelford County,Texas,3
99,Williamsburg County,South Carolina,3
100,San Saba County,Texas,3
101,San Jacinto County,Texas,3
102,San Augustine County,Texas,3
103,Sabine County,Texas,3
104,Steuben County,Indiana,3
105,Mineral County,Montana,3
106,Sweet Grass County,Montana,3
107,Tipton County,Indiana,3
108,Union County,Indiana,3
109,Wabash County,Indiana,3
110,Warren County,Indiana,3
111,Refugio County,Texas,3
112,Adair County,Iowa,3
113,Prairie County,Montana,3
114,Appanoose County,Iowa,3
115,Red River County,Texas,3
116,Real County,Texas,3
117,Butler County,Iowa,3
118,Knox County,Illinois,3
119,Lancaster County,South Carolina,3
120,Morris County,Texas,3
121,Washington County,Pennsylvania,3
122,Webster County,Georgia,3
123,Lincoln County,New Mexico,3
124,White County,Georgia,3
125,Warren County,Pennsylvania,3
126,Hidalgo County,New Mexico,3
127,Wilkes County,Georgia,3
128,Harding County,New Mexico,3
129,Buchanan County,Virginia,3
130,Hawaii County,Hawaii,3
131,Brunswick County,Virginia,3
132,Botetourt County,Virginia,3
133,Bland County,Virginia,3
134,Adams County,Idaho,3
135,Venango County,Pennsylvania,3
136,Bedford County,Virginia,3
137,Grant County,New Mexico,3
138,Benewah County,Idaho,3
139,Bath County,Virginia,3
140,Boise County,Idaho,3
141,Bonner County,Idaho,3
142,Augusta County,Virginia,3
143,Boundary County,Idaho,3
144,Butte County,Idaho,3
145,De Baca County,New Mexico,3
146,Wayne County,Pennsylvania,3
147,Colfax County,New Mexico,3
148,Campbell County,Virginia,3
149,Warren County,Georgia,3
150,Wyoming County,Pennsylvania,3
151,Somerset County,Pennsylvania,3
152,Torrance County,New Mexico,3
153,Essex County,Virginia,3
154,Taos County,New Mexico,3
155,Seminole County,Georgia,3
156,Schuylkill County,Pennsylvania,3
157,Stephens County,Georgia,3
158,Dickenson County,Virginia,3
159,Cumberland County,Virginia,3
160,Sierra County,New Mexico,3
161,Taliaferro County,Georgia,3
162,Santa Fe County,New Mexico,3
163,San Miguel County,New Mexico,3
164,Craig County,Virginia,3
165,Luna County,New Mexico,3
166,Clarke County,Virginia,3
167,Sullivan County,Pennsylvania,3
168,Charlotte County,Virginia,3
169,Towns County,Georgia,3
170,Charles City County,Virginia,3
171,Susquehanna County,Pennsylvania,3
172,Quay County,New Mexico,3
173,Twiggs County,Georgia,3
174,Union County,Georgia,3
175,Tioga County,Pennsylvania,3
176,Mora County,New Mexico,3
177,Carroll County,Virginia,3
178,Westmoreland County,Pennsylvania,3
179,Clearwater County,Idaho,3
180,Douglas County,Nevada,3
181,Franklin County,Illinois,3
182,Orange County,Vermont,3
183,Edgefield County,South Carolina,3
184,Carroll County,New Hampshire,3
185,Cumberland County,Illinois,3
186,Grand Isle County,Vermont,3
187,Fairfield County,South Carolina,3
188,Essex County,Vermont,3
189,Georgetown County,South Carolina,3
190,Edwards County,Illinois,3
191,Caledonia County,Vermont,3
192,Bennington County,Vermont,3
193,Storey County,Nevada,3
194,Nye County,Nevada,3
195,Coos County,New Hampshire,3
196,Mineral County,Nevada,3
197,Lyon County,Nevada,3
198,Wayne County,Utah,3
199,Lincoln County,Nevada,3
200,Horry County,South Carolina,3
201,Henderson County,Illinois,3
202,Henry County,Illinois,3
203,Iroquois County,Illinois,3
204,Washington County,Utah,3
205,Jasper County,Illinois,3
206,Esmeralda County,Nevada,3
207,Jo Daviess County,Illinois,3
208,Clay County,Illinois,3
209,Orleans County,Vermont,3
210,Custer County,Idaho,3
211,Oneida County,Idaho,3
212,Catron County,New Mexico,3
213,Newport County,Rhode Island,3
214,Ocean County,New Jersey,3
215,Aiken County,South Carolina,3
216,Idaho County,Idaho,3
217,Appomattox County,Virginia,3
218,Amherst County,Virginia,3
219,Lemhi County,Idaho,3
220,Lewis County,Idaho,3
221,Beaufort County,South Carolina,3
222,Calhoun County,South Carolina,3
223,Cape May County,New Jersey,3
224,Accomack County,Virginia,3
225,Rutland County,Vermont,3
226,Shoshone County,Idaho,3
227,Windsor County,Vermont,3
228,Clarendon County,South Carolina,3
229,Valley County,Idaho,3
230,Sullivan County,New Hampshire,3
231,Colleton County,South Carolina,3
232,Alexander County,Illinois,3
233,Windham County,Vermont,3
234,Bureau County,Illinois,3
235,Calhoun County,Illinois,3
236,Carroll County,Illinois,3
237,Grafton County,New Hampshire,3
238,Taney County,Missouri,3
239,Stone County,Missouri,3
240,Rabun County,Georgia,3
241,Blanco County,Texas,3
242,Washington County,Maine,3
243,York County,Maine,3
244,Burnet County,Texas,3
245,Lake of the Woods County,Minnesota,3
246,Brown County,Texas,3
247,Lake County,Minnesota,3
248,Briscoe County,Texas,3
249,Brewster County,Texas,3
250,Dorchester County,Maryland,3
251,Kittson County,Minnesota,3
252,Garrett County,Maryland,3
253,Bosque County,Texas,3
254,Kent County,Maryland,3
255,Somerset County,Maine,3
256,Baylor County,Texas,3
257,Talbot County,Maryland,3
258,Bandera County,Texas,3
259,Hubbard County,Minnesota,3
260,Worcester County,Maryland,3
261,Barnstable County,Massachusetts,3
262,Berkshire County,Massachusetts,3
263,Houston County,Minnesota,3
264,Dukes County,Massachusetts,3
265,Franklin County,Massachusetts,3
266,Armstrong County,Texas,3
267,Grant County,Minnesota,3
268,Waldo County,Maine,3
269,Sagadahoc County,Maine,3
270,Fillmore County,Minnesota,3
271,Union County,Louisiana,3
272,Cottle County,Texas,3
273,Pointe Coupee County,Louisiana,3
274,Otter Tail County,Minnesota,3
275,Concho County,Texas,3
276,Sabine County,Louisiana,3
277,Comanche County,Texas,3
278,St. Helena County,Louisiana,3
279,Colorado County,Texas,3
280,Coleman County,Texas,3
281,Coke County,Texas,3
282,Clay County,Texas,3
283,Tensas County,Louisiana,3
284,Meeker County,Minnesota,3
285,Piscataquis County,Maine,3
286,Marshall County,Minnesota,3
287,Cass County,Texas,3
288,Carson County,Texas,3
289,Haywood County,Tennessee,3
290,Callahan County,Texas,3
291,Franklin County,Maine,3
292,Hancock County,Maine,3
293,Lincoln County,Minnesota,3
294,Knox County,Maine,3
295,Lincoln County,Maine,3
296,Oxford County,Maine,3
297,Henry County,Tennessee,3
298,Aransas County,Texas,3
299,Faribault County,Minnesota,3
300,Red Lake County,Minnesota,3
301,Menominee County,Michigan,3
302,Loudon County,Tennessee,3
303,Keweenaw County,Michigan,3
304,Lake County,Michigan,3
305,McMinn County,Tennessee,3
306,Leelanau County,Michigan,3
307,Roane County,Tennessee,3
308,Mackinac County,Michigan,3
309,Polk County,Tennessee,3
310,Manistee County,Michigan,3
311,Pickett County,Tennessee,3
312,Mason County,Michigan,3
313,Tuscola County,Michigan,3
314,Schoolcraft County,Michigan,3
315,Lewis County,Tennessee,3
316,Sanilac County,Michigan,3
317,Montmorency County,Michigan,3
318,Newaygo County,Michigan,3
319,Monroe County,Tennessee,3
320,Oceana County,Michigan,3
321,Ogemaw County,Michigan,3
322,Ontonagon County,Michigan,3
323,Osceola County,Michigan,3
324,Oscoda County,Michigan,3
325,Otsego County,Michigan,3
326,Meigs County,Tennessee,3
327,Presque Isle County,Michigan,3
328,Becker County,Minnesota,3
329,Iron County,Michigan,3
330,Douglas County,Minnesota,3
331,Clare County,Michigan,3
332,Alcona County,Michigan,3
333,Alger County,Michigan,3
334,Alpena County,Michigan,3
335,Antrim County,Michigan,3
336,Arenac County,Michigan,3
337,Baraga County,Michigan,3
338,Wayne County,Tennessee,3
339,Benzie County,Michigan,3
340,Cass County,Michigan,3
341,Charlevoix County,Michigan,3
342,Cheboygan County,Michigan,3
343,Clearwater County,Minnesota,3
344,Unicoi County,Tennessee,3
345,Iosco County,Michigan,3
346,Crawford County,Michigan,3
347,Delta County,Michigan,3
348,Dickinson County,Michigan,3
349,Johnson County,Tennessee,3
350,Emmet County,Michigan,3
351,Gladwin County,Michigan,3
352,Gogebic County,Michigan,3
353,Cass County,Minnesota,3
354,Sullivan County,Tennessee,3
355,Stewart County,Tennessee,3
356,Huron County,Michigan,3
357,Brown County,Minnesota,3
358,Pipestone County,Minnesota,3
359,Redwood County,Minnesota,3
360,Shelby County,Iowa,3
361,Lavaca County,Texas,3
362,Marshall County,Kansas,3
363,Morris County,Kansas,3
364,Gentry County,Missouri,3
365,Llano County,Texas,3
366,Gasconade County,Missouri,3
367,Pawnee County,Kansas,3
368,Rush County,Kansas,3
369,Gregory County,South Dakota,3
370,Leon County,Texas,3
371,Sherman County,Kansas,3
372,Stafford County,Kansas,3
373,Woodson County,Kansas,3
374,Bollinger County,Missouri,3
375,Knox County,Missouri,3
376,Ballard County,Kentucky,3
377,Atchison County,Missouri,3
378,Kinney County,Texas,3
379,Boyd County,Kentucky,3
380,Boyle County,Kentucky,3
381,Kimble County,Texas,3
382,Kerr County,Texas,3
383,Kent County,Texas,3
384,Caldwell County,Kentucky,3
385,Carlisle County,Kentucky,3
386,Clinton County,Kentucky,3
387,Lake County,South Dakota,3
388,Marion County,Kansas,3
389,McCulloch County,Texas,3
390,Edmonson County,Kentucky,3
391,Clay County,Kansas,3
392,Montague County,Texas,3
393,Taylor County,Iowa,3
394,Van Buren County,Iowa,3
395,Mills County,Texas,3
396,Winnebago County,Iowa,3
397,Worth County,Iowa,3
398,Barber County,Kansas,3
399,Putnam County,Missouri,3
400,Brown County,Kansas,3
401,Menard County,Texas,3
402,Baldwin County,Alabama,3
403,Cheyenne County,Kansas,3
404,Coffey County,Kansas,3
405,Kiowa County,Kansas,3
406,Comanche County,Kansas,3
407,Edwards County,Kansas,3
408,Elk County,Kansas,3
409,New Madrid County,Missouri,3
410,Montgomery County,Missouri,3
411,Custer County,South Dakota,3
412,Mason County,Texas,3
413,Maries County,Missouri,3
414,Greenwood County,Kansas,3
415,Harper County,Kansas,3
416,Marion County,Texas,3
417,Kingman County,Kansas,3
418,Cumberland County,Kentucky,3
419,Tishomingo County,Mississippi,3
420,Renville County,Minnesota,3
421,Amite County,Mississippi,3
422,Robertson County,Kentucky,3
423,Clay County,Tennessee,3
424,Russell County,Kentucky,3
425,Clarke County,Mississippi,3
426,Choctaw County,Mississippi,3
427,Franklin County,Texas,3
428,Trigg County,Kentucky,3
429,Carroll County,Mississippi,3
430,Cumberland County,Tennessee,3
431,Foard County,Texas,3
432,Wayne County,Kentucky,3
433,Fisher County,Texas,3
434,Fayette County,Texas,3
435,Franklin County,Mississippi,3
436,Bienville County,Louisiana,3
437,Fayette County,Tennessee,3
438,Edwards County,Texas,3
439,Wadena County,Minnesota,3
440,Eastland County,Texas,3
441,Wabasha County,Minnesota,3
442,Todd County,Minnesota,3
443,Dickens County,Texas,3
444,Giles County,Tennessee,3
445,St. Louis County,Minnesota,3
446,Delta County,Texas,3
447,Rock County,Minnesota,3
448,Pike County,Kentucky,3
449,Gillespie County,Texas,3
450,Jeff Davis County,Texas,3
451,Letcher County,Kentucky,3
452,Fulton County,Kentucky,3
453,Green County,Kentucky,3
454,Greenup County,Kentucky,3
455,Hood County,Texas,3
456,Hill County,Texas,3
457,Hickman County,Kentucky,3
458,Henderson County,Texas,3
459,Montgomery County,Mississippi,3
460,Monroe County,Mississippi,3
461,Haskell County,Texas,3
462,Stanley County,South Dakota,3
463,Sully County,South Dakota,3
464,Livingston County,Kentucky,3
465,Hancock County,Mississippi,3
466,Turner County,South Dakota,3
467,Lyon County,Kentucky,3
468,McCracken County,Kentucky,3
469,Hardeman County,Texas,3
470,McLean County,Kentucky,3
471,Hamilton County,Texas,3
472,Marshall County,Kentucky,3
473,Anderson County,Tennessee,3
474,Jasper County,Mississippi,3
475,Blount County,Tennessee,3
476,Campbell County,Tennessee,3
477,Goliad County,Texas,3
478,Randolph County,Georgia,3
479,Roscommon County,Michigan,3
480,Putnam County,Georgia,3
481,Pendleton County,West Virginia,3
482,Nicholas County,West Virginia,3
483,Costilla County,Colorado,3
484,Morgan County,West Virginia,3
485,Custer County,Colorado,3
486,Delta County,Colorado,3
487,Monroe County,West Virginia,3
488,Dolores County,Colorado,3
489,Stokes County,North Carolina,3
490,Mingo County,West Virginia,3
491,Mineral County,West Virginia,3
492,Mercer County,West Virginia,3
493,Fremont County,Colorado,3
